Symbol,Description,Cluster
AA,Aluminum,Other
AIRR,Industrial Machinery,Industrials
AMLP,Oil & Gas Pipelines,Energy
BJK,Casinos/Gaming,Other
CARZ,Auto Parts: OEM,Other
CIBR,Cybersecurity,Technology
COAL,Coal,Energy
CRAK,Oil Refining/Marketing,Energy
DBA,Agricultural Commodities/Milling,Other
EATZ,Restaurants,Other
EMET,Cooper and Green Metals,Materials
FDN,Internet Software/Services,Technology
FIW,Water Utilities,Utilities
FSTA,Tobacco,Other
GDXJ,Junior Goldmines,Materials
GLD,Precious Metals,Materials
HACK,Computer Communications,Technology
IAK,Life/Health Insurance,Healthcare
IBB,Biotechnology,Healthcare
IBOT,Robotics ETF,Other
IBRN,Neuroscience Heathcare Demographic,Other
IBUY,Internet Retail,Technology
IGM,Electronic Equipment/Instruments,Technology
IGV,Packaged Software,Technology
IHF,Financial Publishing/Services,Other
IHI,Medical Devices,Healthcare
ITA,Aerospace & Defense,Other
ITB,Home Furnishings,Other
IYF,Investment Managers,Financials
IYT,Railroads,Industrials
IYZ,Specialty Telecommunications,Other
JEDI,Space Innovators,Other
JETS,Airlines,Industrials
KBE,Savings Banks,Financials
KBWB,Major Banks,Financials
KIE,Insurance Brokers/Services,Financials
KRE,Regional Banks,Financials
MOO,Chemicals: Agricultural,Other
NLR,Uranium and Nuclear Energy,Energy
NUKZ,Range Nuclear Renaissance ETF,Energy
OIH,Contract Drilling,Other
PAVE,Electrical Components,Other
PBJ,Beverages: Alcoholic,Other
PBS,Advertising/Marketing Services,Other
PBW,Clean Energy,Energy
PEJ,Hotels/Resorts/Cruise lines,Other
PHO,Environmental Services,Other
PICK,Other Metals/Minerals,Materials
PJP,Pharmaceuticals: Generic,Healthcare
PKB,Construction Materials,Industrials
PPH,Pharmaceuticals: Major,Healthcare
PSCI,Commercial Printing/Forms,Other
QTUM,Quantum,Other
REMX,Rare Earth and Strategic Metals,Materials
RTH,Discount Stores,Other
SEA,Marine Shipping,Other
SLV,Silver Miners,Materials
SLX,Metal Fabrication/ Steel,Materials
SMH,Semis,Technology
SMHX,Fabless Semis,Technology
SOXX,Semiconductors,Technology
SPY,Investment Trusts/Mutual Funds,Financials
TAN,Alternative Power Generation/ Solar,Other
UGA,Gas Distributors,Energy
URA,Uranium,Energy
VEGI,Agriculture,Other
VGT,Data Processing Services,Other
VNQ,Real Estate Development,Real Estate
VOX,Major Telecommunications,Other
WOOD,Building Products,Other
XHB,Home Improvement Chains,Other
XLB,Chemicals: Major Diversified,Other
XLF,Finance/Rental/Leasing,Financials
XLI,Electrical Products,Other
XLP,Household/Personal Care,Other
XLU,Electric Utilities,Other
XLV,Healthcare,Healthcare
XLY,Miscellaneous,Other
XOP,Integrated Oil,Energy
XRT,Apparel/Footwear,Consumer
XRX,Office Equipment/Supplies,Other
XSD,Computer Processing Hardware,Technology
XTN,Air Freight/Couriers,Industrials
KWEB,China Internet,Technology
FDN,Internet-Fang,Technology
