TW_Sector,TW_Industry,NQUSB_Code,NQUSB_Level,NQUSB_Name,Confidence,Notes
Technology Services,Data Processing Services,NQUSB10101010,3,Computer Services,HIGH,Data processing aligns with computer services
Technology Services,Internet Software/Services,NQUSB10101020,3,Consumer Digital Services,HIGH,Internet services = digital services
Technology Services,Information Technology Services,NQUSB10101010,3,Computer Services,HIGH,IT services = computer services
Technology Services,Packaged Software,NQUSB10101015,3,Software,HIGH,Exact match
Electronic Technology,Semiconductors,NQUSB10102010,3,Semiconductors,HIGH,Exact match
Electronic Technology,Telecommunications Equipment,NQUSB151010,2,Telecommunications Equipment,HIGH,Exact match
Electronic Technology,Aerospace & Defense,NQUSB502010,2,Aerospace and Defense,HIGH,Electronic components in aerospace/defense
Electronic Technology,Electronic Equipment/Instruments,NQUSB50202025,3,Electronic Equipment: Gauges and Meters,MEDIUM,Instruments = measurement equipment
Electronic Technology,Computer Processing Hardware,NQUSB10102030,3,Computer Hardware,HIGH,Processing hardware = computer hardware
Electronic Technology,Computer Peripherals,NQUSB10102030,3,Computer Hardware,HIGH,Peripherals are computer hardware
Electronic Technology,Electronic Components,NQUSB10102015,3,Electronic Components,HIGH,Exact match
Electronic Technology,Electronic Production Equipment,NQUSB10102020,3,Production Technology Equipment,HIGH,Production equipment match
Electronic Technology,Computer Communications,NQUSB10102020,3,Production Technology Equipment,MEDIUM,Computer comms = production tech
Finance,Major Banks,NQUSB3010,2,Banks,HIGH,Major banks = banks
Finance,Property/Casualty Insurance,NQUSB30302025,3,Property and Casualty Insurance,HIGH,Exact match
Finance,Finance/Rental/Leasing,NQUSB30201020,3,Consumer Lending,MEDIUM,Rental/leasing relates to lending
Finance,Investment Managers,NQUSB30202010,3,Asset Managers and Custodians,HIGH,Investment managers = asset managers
Finance,Real Estate Investment Trusts,NQUSB351020,2,Real Estate Investment Trusts,HIGH,Exact match
Finance,Investment Banks/Brokers,NQUSB302020,2,Investment Banking and Brokerage Services,HIGH,Exact match
Finance,Regional Banks,NQUSB3010,2,Banks,HIGH,Regional banks = banks
Finance,Multi-Line Insurance,NQUSB30302010,3,Full Line Insurance,HIGH,Multi-line = full line
Finance,Insurance Brokers/Services,NQUSB30302015,3,Insurance Brokers,HIGH,Exact match
Finance,Life/Health Insurance,NQUSB303010,2,Life Insurance,HIGH,Life/health insurance
Finance,Real Estate Development,NQUSB35101010,3,Real Estate Holding and Development,HIGH,Exact match
Finance,Specialty Insurance,NQUSB303020,2,Non-life Insurance,MEDIUM,Specialty = non-life
Finance,Financial Conglomerates,NQUSB30202000,3,Diversified Financial Services,HIGH,Conglomerates = diversified
Finance,Savings Banks,NQUSB3010,2,Banks,HIGH,Savings banks = banks
Health Technology,Pharmaceuticals: Major,NQUSB20103015,3,Pharmaceuticals,HIGH,Major pharma companies
Health Technology,Medical Specialties,NQUSB20102010,3,Medical Equipment,HIGH,Specialties = surgical/medical equipment (ISRG)
Health Technology,Biotechnology,NQUSB20103010,3,Biotechnology,HIGH,Exact match
Health Technology,Pharmaceuticals: Other,NQUSB20103015,3,Pharmaceuticals,HIGH,Other pharma companies
Health Technology,Pharmaceuticals: Generic,NQUSB20103015,3,Pharmaceuticals,HIGH,Generic pharma companies
Retail Trade,Internet Retail,NQUSB40401010,3,Diversified Retailers,HIGH,Internet retail = broadline diversified
Retail Trade,Specialty Stores,NQUSB40401030,3,Specialty Retailers,HIGH,Exact match
Retail Trade,Home Improvement Chains,NQUSB40401025,3,Home Improvement Retailers,HIGH,Home improvement chains
Retail Trade,Department Stores,NQUSB40401010,3,Diversified Retailers,HIGH,Department stores = diversified retailers
Retail Trade,Apparel/Footwear Retail,NQUSB40401020,3,Apparel Retailers,HIGH,Exact match - VSCO FIX
Retail Trade,Drugstore Chains,NQUSB45201015,3,Drug Retailers,HIGH,Drugstore = drug retailers
Retail Trade,Food Retail,NQUSB45201010,3,Food Retailers and Wholesalers,HIGH,Food retail
Retail Trade,Discount Stores,NQUSB40401010,3,Diversified Retailers,HIGH,Discount stores = diversified retailers
Retail Trade,Electronics/Appliance Stores,NQUSB40401030,3,Specialty Retailers,MEDIUM,Electronics/appliance stores are specialty
Retail Trade,Catalog/Specialty Distribution,NQUSB40401030,3,Specialty Retailers,HIGH,Catalog/specialty = specialty retailers
Consumer Non-Durables,Household/Personal Care,NQUSB45201030,3,Nondurable Household Products,HIGH,Household care products
Consumer Non-Durables,Beverages: Non-Alcoholic,NQUSB45101020,3,Soft Drinks,HIGH,Non-alcoholic = soft drinks
Consumer Non-Durables,Food: Specialty/Candy,NQUSB45102020,3,Food Products,HIGH,Specialty food = food products
Consumer Non-Durables,Tobacco,NQUSB451030,2,Tobacco,HIGH,Exact match
Consumer Non-Durables,Beverages: Alcoholic,NQUSB45101015,3,Distillers and Vintners,HIGH,Alcoholic = distillers
Consumer Non-Durables,Apparel/Footwear,NQUSB40204020,3,Clothing and Accessories,HIGH,Apparel/footwear = clothing accessories
Consumer Non-Durables,Food: Major Diversified,NQUSB45102020,3,Food Products,HIGH,Major food producers
