Symbol,Description,Primary Return %,1W Return %,1M Return %,3M Return %,6M Return %,Custom Period Return %,1Y Return %,YTD Return %,RS 1W,RS 1M,RS 3M,RS 6M,RS 1Y,RS YTD
005380,Hyundai Motor Company,,6.737967914438503,18.246445497630333,79.17414721723519,134.8235294117647,,144.00977995110026,-1.383399209486166,92.28545061770994,63.31778600410256,81.59014927896989,83.35122707666827,83.80684133148178,0
0IIH,Kering SA,,7.105719237435027,-3.370396108408613,-12.821316614420056,32.31830617342691,,-0.8290986894891642,-1.93070616239089,44.666872095152044,81.51083978464453,39.493055789201144,40.00331554920115,53.355250005223816,0
0L2T,"Samsung SDI Co., Ltd Sponsored GDR 144A",,1.4981273408239781,19.64679911699781,75.40453074433658,56.195965417867434,,-26.954174944238872,0.3703703703703756,43.41998873991237,78.61381008975248,87.07800732791262,87.8961734348575,32.610512096359344,0
0MPH,Deutsche Telekom AG,,7.491390075583297,20.477458563535908,19.68397365532382,5.685395799676892,,-2.4321252796420625,1.8198599221789795,99,99,99,85.29891461795852,37.744684278400754,0
0NQE,PUMA SE,,2.597123846318939,9.032846715328452,42.64398686959117,39.216542886267646,,-21.32982225148124,1.5508816656044124,99,99,94.8695217468073,94.8695217468073,40.95595064617912,0
0NRG,Bilfinger SE,,-4.572098475967181,3.9148936170212716,34.99170812603648,27.98742138364779,,142.02180376610502,2.605042016806718,91.00177028417458,70.14086105995229,85.42553346835626,87.72572323878832,92.85083674205855,0
0NWC,secunet Security Networks AG,,-7.404292079207922,-4.472252298263541,7.868125720876582,-1.7629569327731136,,31.166430575035065,-1.5561421052631592,34.84488347865795,9.994242023291498,23.64098328922377,23.64098328922377,32.8712622916926,0
0QP2,Zurich Insurance Group Ltd,,-2.1302601711192675,-3.1282405807120677,-2.859618717504333,-5.240912933220625,,-0.5853139411138621,1.2829779544633217,99,62.09455972154803,43.26184518206208,27.934140950717815,13.572139661176022,0
0QQ6,Roche Holding Ltd,,2.8942297159643067,4.323413812464917,28.705673952922556,43.58578052550232,,19.25545571245186,0.12395323855724108,99,99,99,99,76.66084520410531,0
0QWI,"Industria de Diseno Textil, S.A.",,0.14010507880910383,3.1013342949873763,18.274899162271176,31.2521519568461,,5.517623177708068,-0.935550935550934,67.59002706312415,87.57093731647785,93.46212013850517,94.93530890065186,71.20494071336451,0
0QYR,Panasonic Holdings Corporation,,30.094043887147336,64.62809917355372,53.79864113650401,90.80459770114942,,82.02693793992584,2.2587268993839835,99,99,99,99,99,0
0RJT,Redcare Pharmacy N.V.,,6.416698879010446,6.252412196063291,12.966762412802634,-26.074113856068738,,-39.44126704795425,0.6949524506218121,99,99,77.43109749525219,27.400325304727655,10.767999373071655,0
1,CK Hutchison Holdings Ltd,,-2.528735632183906,5.123966942148763,16.590284142988093,22.30769230769231,,63.7065637065637,0.15748031496063214,99,70.77143350366269,85.77561199307381,87.17858939501006,91.1424888050231,0
1024,Kuaishou Technology Class B,,-1.2987012987012865,-12.699425654116132,1.9374068554396595,-9.042553191489358,,49.34497816593888,-0.07304601899196078,1,1,29.85388864171542,18.227074423505076,38.61564151984965,0
1211,BYD Company Limited Class H,,4.543025120256548,-1.4112903225806508,-2.7833001988071544,-14.059753954305801,,-10.494203564354377,0.05115089514066205,98.50058004425185,75.79092559694183,68.26549260770831,26.648460487448574,11.074465598808716,0
1301,Formosa Plastics Corporation,,-0.7470651013874097,15.671641791044769,12.454655380894797,20.936280884265273,,38.80597014925373,2.4229074889867874,52.35407946100073,54.833521066206615,63.619745593875656,65.41325460034011,65.83579432669133,0
1EL,EssilorLuxottica SA,,0.039308176100626695,-5.984484669375688,-20.59282371294852,-3.158295281582957,,-13.435374149659864,-1.4711575687185487,64.59142214625345,32.75739105187723,10.431407749347132,10.431407749347132,9.217710068426115,0
1KER,Kering SA,,7.842003853564555,-2.762334954829739,-11.201015389497051,32.191780821917824,,-0.2495098912849719,-1.1654600035316809,63.3252339499672,87.93907926783594,39.178164829252516,44.87781166281847,55.471564150875004,0
1N8,Adyen NV,,-20.689957865168545,-35.41815582558971,-38.32764505119454,-35.33495562553679,,-50.498575498575505,-2.0277597050531386,1,1,1,1,1,0
1PUM,PUMA SE,,2.2737022737022787,8.759124087591232,42.32835820895522,37.406340057636875,,-20.32085561497327,1.05977108944468,99.00000000000001,99,93.26252013719782,93.26252013719782,40.75355725622393,0
1TKA,thyssenkrupp AG,,-9.33165195460277,4.607177497575166,16.368148467846346,78.08359140084022,,241.90823006206855,2.082347373402751,14.244083722964469,40.75082081349475,59.367592069201805,76.51999389146577,81.81362535400463,0
