Symbol,Description,Primary Return %,1W Return %,1M Return %,3M Return %,6M Return %,Custom Period Return %,1Y Return %,YTD Return %,RS 1W,RS 1M,Rel Return 1W %,Rel Return 1M %,Rel Return 3M %,RS 3M,RS 6M,Rel Return 6M %,Rel Return YTD %,Rel Return 1Y %,RS YTD,RS 1Y
005380,Hyundai Motor Company,,6.737967914438503,18.246445497630333,79.17414721723519,134.8235294117647,,144.00977995110026,-1.383399209486166,92.28545061770994,63.31778600410256,6.166104214455107,19.824175604010275,79.7290776422185,81.59014927896989,83.35122707666827,117.92707218956984,0.16402172854222438,115.53892785382172,0,83.80684133148178
0IIH,Kering SA,,7.105719237435027,-3.370396108408613,-12.821316614420056,32.31830617342691,,-0.8290986894891642,-1.93070616239089,44.666872095152044,81.51083978464453,8.49923259223672,-1.8835687599336677,-14.062981470560851,39.493055789201144,40.00331554920115,24.882861641701243,-1.999753850021339,-11.305502521367403,0,53.355250005223816
0L2T,"Samsung SDI Co., Ltd Sponsored GDR 144A",,2.621722846441945,20.971302428256074,77.34627831715211,57.92507204610949,,-26.14554957461791,1.481481481481476,71.90409445650943,82.38634441910122,2.0000466963051,23.35080395456766,67.79936461823097,89.28421294199286,89.95097460606989,40.111448224553484,1.4100313735077232,-44.215109282654176,0,33.35799400161166
0MPH,Deutsche Telekom AG,,7.525468287873806,20.515653775322285,19.721917306988658,5.718901453957995,,-2.4011931394481723,1.852140077821008,99,99,8.924442844109151,22.37001271643432,18.016747058289184,99,85.43684198651901,-0.2218262537077549,1.7804290000984522,-12.711521075050577,0,37.804804834330504
0NQE,PUMA SE,,2.2107748443871946,8.622262773722614,42.106833780960905,38.69229649046162,,-21.626069782751813,1.1684724877841453,99,99,3.540601867298401,10.293619629602855,42.44659782799131,93.82650537122976,93.82650537122976,31.205862297797193,1.097242760179982,-30.63777845855684,0,40.511986406773055
0NRG,Bilfinger SE,,-5.267682688550222,3.1574468085106333,34.00773908236594,27.05450733752619,,140.25768087215062,1.857142857142852,76.93238749254722,64.03516865110606,-4.0351551424518535,4.7447172405183835,34.25344450789284,82.55360033727521,85.34043841864298,20.185084322548246,1.785428257111418,113.31921790791564,0,91.5498658606069
0NWC,secunet Security Networks AG,,-8.118811881188122,-5.2093973442288135,7.035755478662047,-2.5210084033613507,,30.15427769985975,-2.3157894736842133,24.61045476704431,7.274453407076515,-6.923379334633142,-3.7508664724150487,6.9870850214587055,21.338204228202127,21.338204228202127,-9.073941567826271,-2.3845660355509457,14.694221362295174,0,31.676189865021882
0QP2,Zurich Insurance Group Ltd,,-2.0953378732320584,-3.0936743864500476,-2.8249566724436663,-5.207100591715968,,-0.5498403689251347,1.3191181785327193,98.99999999999999,62.51150634693031,-0.8215361085610942,-1.6025891562540338,-2.6467846091368266,43.550265850144484,28.117955994612984,-10.332243638565043,1.2477823857557468,-11.553178162796753,0,13.657939628136308
0QQ6,Roche Holding Ltd,,3.060366793008373,4.491858506457047,28.913487204730277,43.81761978361668,,19.44801026957637,0.2856173180597463,98.99999999999999,99,4.401247546149521,6.099661360483777,26.875075188497057,99,99,34.14961609504586,0.21500918265427305,5.43663163920156,0,77.1118327296878
0QWI,"Industria de Diseno Textil, S.A.",,-0.1050788091068341,2.848900108186077,17.98531388975075,30.930793067829686,,5.259272928584612,-1.1781011781011776,60.01702593929126,84.81536969085101,1.1946174886023344,4.431422971603567,16.304877662586122,92.12692731617977,93.95530454581656,23.573317919419647,-1.247678752629247,-5.860305855891602,0,70.47250954945768
